run_id,outter_seed,outter_fold,C,l1_ratio,top_k,mean_inner_accuracy,std_inner_accuracy,n_estimators,max_depth,min_samples_split
1,1,1,0.01,0.5,20,0.425,0.07288689868556625,200,,5
1,1,1,0.01,0.5,50,0.7375,0.08291561975888499,200,,5
1,1,1,0.01,0.5,5,0.4125,0.030618621784789725,100,5.0,2
1,1,1,0.01,0.5,10,0.4625,0.0637377439199098,100,5.0,2
1,1,1,0.01,0.5,20,0.4125,0.08477912478906585,100,5.0,2
1,1,1,0.01,0.5,50,0.675,0.08291561975888499,100,5.0,2
1,1,1,0.01,0.5,5,0.425,0.024999999999999998,200,5.0,2
1,1,1,0.01,0.5,10,0.4,0.075,200,5.0,2
1,1,1,0.01,0.5,20,0.4375,0.08838834764831845,200,5.0,2
1,1,1,0.01,0.5,50,0.7375,0.1,200,5.0,2
1,1,1,0.01,0.5,5,0.425,0.024999999999999998,100,5.0,5
1,1,1,0.01,0.5,10,0.475,0.0637377439199098,100,5.0,5
1,1,1,0.01,0.5,20,0.425,0.07288689868556625,100,5.0,5
1,1,1,0.01,0.5,50,0.6875,0.07905694150420949,100,5.0,5
1,1,1,0.01,0.5,5,0.425,0.024999999999999998,200,5.0,5
1,1,1,0.01,0.5,10,0.4375,0.07905694150420949,200,5.0,5
1,1,1,0.01,0.5,20,0.4375,0.06846531968814576,200,5.0,5
1,1,1,0.01,0.5,50,0.7125,0.09354143466934853,200,5.0,5
1,1,1,0.01,0.5,5,0.4125,0.030618621784789725,100,10.0,2
1,1,1,0.01,0.5,10,0.4,0.075,100,10.0,2
1,1,1,0.01,0.5,20,0.425,0.082915619758885,100,10.0,2
1,1,1,0.01,0.5,50,0.725,0.08477912478906585,100,10.0,2
1,1,1,0.01,0.5,5,0.4125,0.03061862178478973,200,10.0,2
1,1,1,0.01,0.5,10,0.3875,0.07288689868556625,200,10.0,2
1,1,1,0.01,0.5,20,0.4125,0.0637377439199098,200,10.0,2
1,1,1,0.01,0.5,50,0.7,0.06123724356957946,200,10.0,2
1,1,1,0.01,0.5,5,0.4375,0.03952847075210474,100,10.0,5
1,1,1,0.01,0.5,10,0.45,0.09185586535436918,100,10.0,5
1,1,1,0.01,0.5,20,0.4375,0.06846531968814576,100,10.0,5
1,1,1,0.01,0.5,50,0.7375,0.06123724356957945,100,10.0,5
1,1,1,0.01,0.5,5,0.4375,0.03952847075210474,200,10.0,5
1,1,1,0.01,0.5,10,0.4,0.09354143466934853,200,10.0,5
1,1,1,0.01,0.5,20,0.4375,0.08838834764831845,200,10.0,5
1,1,1,0.01,0.5,50,0.7375,0.08291561975888499,200,10.0,5
1,1,1,0.01,0.7,5,0.4125,0.030618621784789725,100,,2
1,1,1,0.01,0.7,10,0.375,0.06846531968814576,100,,2
1,1,1,0.01,0.7,20,0.425,0.046770717334674264,100,,2
1,1,1,0.01,0.7,50,0.725,0.08477912478906585,100,,2
1,1,1,0.01,0.7,5,0.4125,0.03061862178478973,200,,2
1,1,1,0.01,0.7,10,0.3875,0.07288689868556625,200,,2
1,1,1,0.01,0.7,20,0.4,0.08477912478906585,200,,2
1,1,1,0.01,0.7,50,0.7125,0.08477912478906585,200,,2
1,1,1,0.01,0.7,5,0.4375,0.03952847075210474,100,,5
1,1,1,0.01,0.7,10,0.4375,0.11180339887498948,100,,5
1,1,1,0.01,0.7,20,0.45,0.082915619758885,100,,5
1,1,1,0.01,0.7,50,0.725,0.0637377439199098,100,,5
1,1,1,0.01,0.7,5,0.4375,0.03952847075210474,200,,5
1,1,1,0.01,0.7,10,0.4,0.09354143466934853,200,,5
1,1,1,0.01,0.7,20,0.425,0.07288689868556625,200,,5
1,1,1,0.01,0.7,50,0.7375,0.08291561975888499,200,,5
1,1,1,0.01,0.7,5,0.4125,0.030618621784789725,100,5.0,2
1,1,1,0.01,0.7,10,0.4625,0.0637377439199098,100,5.0,2
1,1,1,0.01,0.7,20,0.4125,0.08477912478906585,100,5.0,2
1,1,1,0.01,0.7,50,0.675,0.08291561975888499,100,5.0,2
1,1,1,0.01,0.7,5,0.425,0.024999999999999998,200,5.0,2
1,1,1,0.01,0.7,10,0.4,0.075,200,5.0,2
1,1,1,0.01,0.7,20,0.4375,0.08838834764831845,200,5.0,2
1,1,1,0.01,0.7,50,0.7375,0.1,200,5.0,2
1,1,1,0.01,0.7,5,0.425,0.024999999999999998,100,5.0,5
1,1,1,0.01,0.7,10,0.475,0.0637377439199098,100,5.0,5
1,1,1,0.01,0.7,20,0.425,0.07288689868556625,100,5.0,5
1,1,1,0.01,0.7,50,0.6875,0.07905694150420949,100,5.0,5
1,1,1,0.01,0.7,5,0.425,0.024999999999999998,200,5.0,5
1,1,1,0.01,0.7,10,0.4375,0.07905694150420949,200,5.0,5
1,1,1,0.01,0.7,20,0.4375,0.06846531968814576,200,5.0,5
1,1,1,0.01,0.7,50,0.7125,0.09354143466934853,200,5.0,5
1,1,1,0.01,0.7,5,0.4125,0.030618621784789725,100,10.0,2
1,1,1,0.01,0.7,10,0.4,0.075,100,10.0,2
1,1,1,0.01,0.7,20,0.425,0.082915619758885,100,10.0,2
1,1,1,0.01,0.7,50,0.725,0.08477912478906585,100,10.0,2
1,1,1,0.01,0.7,5,0.4125,0.03061862178478973,200,10.0,2
1,1,1,0.01,0.7,10,0.3875,0.07288689868556625,200,10.0,2
1,1,1,0.01,0.7,20,0.4125,0.0637377439199098,200,10.0,2
1,1,1,0.01,0.7,50,0.7,0.06123724356957946,200,10.0,2
1,1,1,0.01,0.7,5,0.4375,0.03952847075210474,100,10.0,5
1,1,1,0.01,0.7,10,0.45,0.09185586535436918,100,10.0,5
1,1,1,0.01,0.7,20,0.4375,0.06846531968814576,100,10.0,5
1,1,1,0.01,0.7,50,0.7375,0.06123724356957945,100,10.0,5
1,1,1,0.01,0.7,5,0.4375,0.03952847075210474,200,10.0,5
1,1,1,0.01,0.7,10,0.4,0.09354143466934853,200,10.0,5
1,1,1,0.01,0.7,20,0.4375,0.08838834764831845,200,10.0,5
1,1,1,0.01,0.7,50,0.7375,0.08291561975888499,200,10.0,5
1,1,1,0.01,0.9,5,0.4125,0.030618621784789725,100,,2
1,1,1,0.01,0.9,10,0.375,0.06846531968814576,100,,2
1,1,1,0.01,0.9,20,0.425,0.046770717334674264,100,,2
1,1,1,0.01,0.9,50,0.725,0.08477912478906585,100,,2
1,1,1,0.01,0.9,5,0.4125,0.03061862178478973,200,,2
1,1,1,0.01,0.9,10,0.3875,0.07288689868556625,200,,2
1,1,1,0.01,0.9,20,0.4,0.08477912478906585,200,,2
1,1,1,0.01,0.9,50,0.7125,0.08477912478906585,200,,2
1,1,1,0.01,0.9,5,0.4375,0.03952847075210474,100,,5
1,1,1,0.01,0.9,10,0.4375,0.11180339887498948,100,,5
1,1,1,0.01,0.9,20,0.45,0.082915619758885,100,,5
1,1,1,0.01,0.9,50,0.725,0.0637377439199098,100,,5
1,1,1,0.01,0.9,5,0.4375,0.03952847075210474,200,,5
1,1,1,0.01,0.9,10,0.4,0.09354143466934853,200,,5
1,1,1,0.01,0.9,20,0.425,0.07288689868556625,200,,5
1,1,1,0.01,0.9,50,0.7375,0.08291561975888499,200,,5
1,1,1,0.01,0.9,5,0.4125,0.030618621784789725,100,5.0,2
1,1,1,0.01,0.9,10,0.4625,0.0637377439199098,100,5.0,2
1,1,1,0.01,0.9,20,0.4125,0.08477912478906585,100,5.0,2
1,1,1,0.01,0.9,50,0.675,0.08291561975888499,100,5.0,2
1,1,1,0.01,0.9,5,0.425,0.024999999999999998,200,5.0,2
1,1,1,0.01,0.9,10,0.4,0.075,200,5.0,2
1,1,1,0.01,0.9,20,0.4375,0.08838834764831845,200,5.0,2
1,1,1,0.01,0.9,50,0.7375,0.1,200,5.0,2
1,1,1,0.01,0.9,5,0.425,0.024999999999999998,100,5.0,5
1,1,1,0.01,0.9,10,0.475,0.0637377439199098,100,5.0,5
1,1,1,0.01,0.9,20,0.425,0.07288689868556625,100,5.0,5
1,1,1,0.01,0.9,50,0.6875,0.07905694150420949,100,5.0,5
1,1,1,0.01,0.9,5,0.425,0.024999999999999998,200,5.0,5
1,1,1,0.01,0.9,10,0.4375,0.07905694150420949,200,5.0,5
1,1,1,0.01,0.9,20,0.4375,0.06846531968814576,200,5.0,5
1,1,1,0.01,0.9,50,0.7125,0.09354143466934853,200,5.0,5
1,1,1,0.01,0.9,5,0.4125,0.030618621784789725,100,10.0,2
1,1,1,0.01,0.9,10,0.4,0.075,100,10.0,2
1,1,1,0.01,0.9,20,0.425,0.082915619758885,100,10.0,2
1,1,1,0.01,0.9,50,0.725,0.08477912478906585,100,10.0,2
1,1,1,0.01,0.9,5,0.4125,0.03061862178478973,200,10.0,2
1,1,1,0.01,0.9,10,0.3875,0.07288689868556625,200,10.0,2
1,1,1,0.01,0.9,20,0.4125,0.0637377439199098,200,10.0,2
1,1,1,0.01,0.9,50,0.7,0.06123724356957946,200,10.0,2
1,1,1,0.01,0.9,5,0.4375,0.03952847075210474,100,10.0,5
1,1,1,0.01,0.9,10,0.45,0.09185586535436918,100,10.0,5
1,1,1,0.01,0.9,20,0.4375,0.06846531968814576,100,10.0,5
1,1,1,0.01,0.9,50,0.7375,0.06123724356957945,100,10.0,5
1,1,1,0.01,0.9,5,0.4375,0.03952847075210474,200,10.0,5
1,1,1,0.01,0.9,10,0.4,0.09354143466934853,200,10.0,5
